match_id,datetime,league,home_team_id,home_team_name,home_team_name_short,away_team_id,away_team_name,away_team_name_short,home_team_goals,away_team_goals,home_team_xG,away_team_xG,win_forecast,draw_forecast,loss_forecast
2,2024-10-27 14:00:00,EPL,81,West Ham,WHU,89,Manchester United,MUN,2,1,2.99312,2.62598,0.4816,0.2222,0.2962
2,2024-10-27 16:30:00,EPL,83,Arsenal,ARS,87,Liverpool,LIV,2,2,1.0883,1.35346,0.2606,0.3127,0.4267
2,2024-11-02 12:30:00,EPL,86,Newcastle United,NEW,83,Arsenal,ARS,1,0,0.859715,0.911305,0.3122,0.3446,0.3432
2,2024-11-02 15:00:00,EPL,73,Bournemouth,BOU,88,Manchester City,MCI,2,1,2.4493,2.3527,0.4071,0.2358,0.3571
2,2024-11-02 15:00:00,EPL,285,Ipswich,IPS,75,Leicester,LEI,1,1,1.33617,2.33858,0.162,0.2044,0.6336
2,2024-11-02 15:00:00,EPL,87,Liverpool,LIV,220,Brighton,BRI,2,1,1.81037,1.01568,0.5793,0.2344,0.1863
2,2024-11-02 15:00:00,EPL,249,Nottingham Forest,NOT,81,West Ham,WHU,3,0,2.35011,0.132317,0.9176,0.0732,0.0092
2,2024-11-02 15:00:00,EPL,74,Southampton,SOU,72,Everton,EVE,1,0,0.540345,1.78581,0.0769,0.2034,0.7197
2,2024-11-02 17:30:00,EPL,229,Wolverhampton Wanderers,WOL,78,Crystal Palace,CRY,2,2,1.65018,2.64849,0.1625,0.2097,0.6278
2,2024-11-03 14:00:00,EPL,82,Tottenham,TOT,71,Aston Villa,AVL,4,1,2.09751,2.48749,0.268,0.2601,0.4719
2,2024-11-03 16:30:00,EPL,89,Manchester United,MUN,80,Chelsea,CHE,1,1,2.1605,1.21071,0.6277,0.2289,0.1434
2,2024-11-04 20:00:00,EPL,228,Fulham,FLH,244,Brentford,BRE,2,1,1.43017,0.739231,0.5292,0.2933,0.1775
2,2024-11-09 15:00:00,EPL,244,Brentford,BRE,73,Bournemouth,BOU,3,2,1.56474,2.49234,0.1761,0.2142,0.6097
2,2024-11-09 15:00:00,EPL,78,Crystal Palace,CRY,228,Fulham,FLH,0,2,1.96037,2.25331,0.3182,0.233,0.4488
2,2024-11-09 15:00:00,EPL,81,West Ham,WHU,72,Everton,EVE,0,0,1.1237,0.865983,0.4316,0.3045,0.2639
2,2024-11-09 15:00:00,EPL,229,Wolverhampton Wanderers,WOL,74,Southampton,SOU,2,0,0.912781,0.792655,0.3679,0.3593,0.2728
2,2024-11-09 17:30:00,EPL,220,Brighton,BRI,88,Manchester City,MCI,2,1,2.87116,2.60334,0.4425,0.2309,0.3266
2,2024-11-09 20:00:00,EPL,87,Liverpool,LIV,71,Aston Villa,AVL,2,0,2.68196,1.66337,0.6245,0.2004,0.1751
2,2024-11-10 14:00:00,EPL,249,Nottingham Forest,NOT,86,Newcastle United,NEW,1,3,1.17852,1.86904,0.1929,0.2586,0.5485
2,2024-11-10 14:00:00,EPL,89,Manchester United,MUN,75,Leicester,LEI,3,0,1.2369,0.417295,0.5982,0.2945,0.1073
2,2024-11-10 14:00:00,EPL,82,Tottenham,TOT,285,Ipswich,IPS,1,2,1.75088,2.18392,0.2526,0.2562,0.4912
2,2024-11-10 16:30:00,EPL,80,Chelsea,CHE,83,Arsenal,ARS,1,1,1.24067,1.9605,0.2027,0.2425,0.5548
2,2024-08-15 17:00:00,La_Liga,147,Athletic Club,ATH,142,Getafe,GET,1,1,0.290195,0.537517,0.1519,0.4912,0.3569
2,2024-08-15 19:30:00,La_Liga,153,Real Betis,BET,223,Girona,GIR,1,1,1.80582,1.54726,0.432,0.2586,0.3094
2,2024-08-16 17:00:00,La_Liga,152,Celta Vigo,CEL,158,Alaves,ALA,2,1,0.793797,1.9391,0.1095,0.2132,0.6773
2,2024-08-16 19:30:00,La_Liga,144,Las Palmas,LPL,138,Sevilla,SEV,2,2,1.3187,2.09987,0.1945,0.2398,0.5657
2,2024-08-17 17:00:00,La_Liga,157,Osasuna,OSA,159,Leganes,LEG,1,1,1.7631,1.33949,0.4804,0.2671,0.2525
2,2024-08-17 19:30:00,La_Liga,146,Valencia,VAL,148,Barcelona,BAR,1,2,1.55206,3.48824,0.0493,0.1264,0.8243
2,2024-08-18 17:00:00,La_Liga,140,Real Sociedad,SOC,145,Rayo Vallecano,RVL,1,2,1.56608,1.60148,0.3601,0.2701,0.3698
2,2024-08-18 19:30:00,La_Liga,239,Mallorca,MAL,150,Real Madrid,RMA,1,1,1.30561,0.608052,0.5807,0.2785,0.1408
2,2024-08-19 17:00:00,La_Liga,231,Real Valladolid,VAL,141,Espanyol,ESP,1,0,1.17753,0.515586,0.5567,0.2985,0.1448
2,2024-08-19 19:30:00,La_Liga,154,Villarreal,VIL,143,Atletico Madrid,ATL,2,2,0.68684,1.13868,0.2087,0.3204,0.4709
2,2024-08-23 17:00:00,La_Liga,152,Celta Vigo,CEL,146,Valencia,VAL,3,1,1.30571,1.1544,0.3803,0.3303,0.2894
2,2024-08-23 19:30:00,La_Liga,138,Sevilla,SEV,154,Villarreal,VIL,1,2,1.23826,1.39825,0.3052,0.2901,0.4047
2,2024-08-24 15:00:00,La_Liga,157,Osasuna,OSA,239,Mallorca,MAL,1,0,0.887678,0.427602,0.4672,0.3767,0.1561
2,2024-08-24 17:00:00,La_Liga,148,Barcelona,BAR,147,Athletic Club,ATH,2,1,2.41577,1.09985,0.7191,0.1884,0.0925
2,2024-08-24 19:30:00,La_Liga,142,Getafe,GET,145,Rayo Vallecano,RVL,0,0,0.512723,0.161076,0.3626,0.5395,0.0979
2,2024-08-24 19:30:00,La_Liga,141,Espanyol,ESP,140,Real Sociedad,SOC,0,1,1.79566,0.796104,0.6597,0.2355,0.1048
2,2024-08-25 15:00:00,La_Liga,150,Real Madrid,RMA,231,Real Valladolid,VAL,3,0,2.17954,0.378528,0.8382,0.1269,0.0349
2,2024-08-25 17:00:00,La_Liga,159,Leganes,LEG,144,Las Palmas,LPL,2,1,1.58998,1.23438,0.4672,0.2814,0.2514
2,2024-08-25 17:15:00,La_Liga,158,Alaves,ALA,153,Real Betis,BET,0,0,0.172545,1.36012,0.0393,0.2433,0.7174
2,2024-08-25 19:30:00,La_Liga,143,Atletico Madrid,ATL,223,Girona,GIR,3,0,1.42393,0.596524,0.6231,0.26,0.1169
2,2024-08-26 19:30:00,La_Liga,154,Villarreal,VIL,152,Celta Vigo,CEL,4,3,4.3817,3.79183,0.5121,0.1988,0.2891
2,2024-08-27 17:00:00,La_Liga,239,Mallorca,MAL,138,Sevilla,SEV,0,0,0.940858,0.60976,0.4497,0.3369,0.2134
2,2024-08-27 19:30:00,La_Liga,145,Rayo Vallecano,RVL,148,Barcelona,BAR,1,2,0.392473,1.51872,0.0769,0.2318,0.6913
2,2024-08-28 17:00:00,La_Liga,231,Real Valladolid,VAL,159,Leganes,LEG,0,0,0.773785,0.184577,0.4923,0.4245,0.0832
2,2024-08-28 17:00:00,La_Liga,147,Athletic Club,ATH,146,Valencia,VAL,1,0,1.51595,0.0996371,0.8157,0.1705,0.0138
2,2024-08-28 19:30:00,La_Liga,140,Real Sociedad,SOC,158,Alaves,ALA,1,2,0.951647,2.62561,0.0611,0.1418,0.7971
2,2024-08-28 19:30:00,La_Liga,143,Atletico Madrid,ATL,141,Espanyol,ESP,0,0,3.88587,0.855829,0.9347,0.0516,0.0137
2,2024-08-29 17:00:00,La_Liga,223,Girona,GIR,157,Osasuna,OSA,4,0,2.6015,0.0199618,0.9725,0.0272,0.0003
2,2024-08-29 19:30:00,La_Liga,144,Las Palmas,LPL,150,Real Madrid,RMA,1,1,0.809213,3.28322,0.0275,0.0814,0.8911
2,2024-08-31 15:00:00,La_Liga,148,Barcelona,BAR,231,Real Valladolid,VAL,7,0,4.94022,0.422493,0.9912,0.0081,0.0007
2,2024-08-31 17:00:00,La_Liga,147,Athletic Club,ATH,143,Atletico Madrid,ATL,0,1,0.252231,1.58613,0.0305,0.1674,0.8021
2,2024-08-31 17:15:00,La_Liga,141,Espanyol,ESP,145,Rayo Vallecano,RVL,2,1,1.84679,1.0088,0.5997,0.2404,0.1599
2,2024-08-31 19:30:00,La_Liga,146,Valencia,VAL,154,Villarreal,VIL,1,1,1.14322,0.885369,0.3942,0.3352,0.2706
2,2024-08-31 19:30:00,La_Liga,159,Leganes,LEG,239,Mallorca,MAL,0,1,0.52078,1.48758,0.0995,0.2403,0.6602
2,2024-09-01 15:00:00,La_Liga,158,Alaves,ALA,144,Las Palmas,LPL,2,0,2.01026,0.547308,0.7806,0.1647,0.0547
2,2024-09-01 15:00:00,La_Liga,157,Osasuna,OSA,152,Celta Vigo,CEL,3,2,0.779621,1.72329,0.1316,0.2296,0.6388
2,2024-09-01 17:00:00,La_Liga,138,Sevilla,SEV,223,Girona,GIR,0,2,0.812687,2.36355,0.0607,0.1317,0.8076
2,2024-09-01 17:15:00,La_Liga,142,Getafe,GET,140,Real Sociedad,SOC,0,0,0.547095,0.0209183,0.4204,0.5673,0.0123
2,2024-09-01 19:30:00,La_Liga,150,Real Madrid,RMA,153,Real Betis,BET,2,0,2.37168,0.831429,0.7638,0.1588,0.0774
2,2024-09-13 19:00:00,La_Liga,153,Real Betis,BET,159,Leganes,LEG,2,0,1.72201,0.107021,0.8701,0.1204,0.0095
2,2024-09-14 12:00:00,La_Liga,239,Mallorca,MAL,154,Villarreal,VIL,1,2,0.345425,2.41884,0.0239,0.1011,0.875
2,2024-09-14 14:15:00,La_Liga,141,Espanyol,ESP,158,Alaves,ALA,3,2,1.95102,2.3693,0.251,0.2911,0.4579
2,2024-09-14 16:30:00,La_Liga,138,Sevilla,SEV,142,Getafe,GET,1,0,1.64801,0.971555,0.5595,0.2574,0.1831
2,2024-09-14 19:00:00,La_Liga,140,Real Sociedad,SOC,150,Real Madrid,RMA,0,2,1.41828,2.2759,0.1639,0.2351,0.601
2,2024-09-15 12:00:00,La_Liga,152,Celta Vigo,CEL,231,Real Valladolid,VAL,3,1,1.99273,0.382657,0.8028,0.1531,0.0441
2,2024-09-15 14:15:00,La_Liga,223,Girona,GIR,148,Barcelona,BAR,1,4,1.09568,2.5936,0.0916,0.1681,0.7403
2,2024-09-15 16:30:00,La_Liga,144,Las Palmas,LPL,147,Athletic Club,ATH,2,3,1.5194,1.80432,0.2556,0.3103,0.4341
2,2024-09-15 19:00:00,La_Liga,143,Atletico Madrid,ATL,146,Valencia,VAL,3,0,3.22965,0.18311,0.9697,0.0257,0.0046
2,2024-09-16 19:00:00,La_Liga,145,Rayo Vallecano,RVL,157,Osasuna,OSA,3,1,1.48433,0.530311,0.6462,0.2505,0.1033
2,2024-09-17 19:00:00,La_Liga,239,Mallorca,MAL,140,Real Sociedad,SOC,1,0,1.56932,0.499139,0.7145,0.2117,0.0738
2,2024-09-18 17:00:00,La_Liga,153,Real Betis,BET,142,Getafe,GET,2,1,3.06176,0.864309,0.8923,0.0796,0.0281
2,2024-09-19 17:00:00,La_Liga,159,Leganes,LEG,147,Athletic Club,ATH,0,2,0.666594,1.32325,0.1628,0.2836,0.5536
2,2024-09-20 19:00:00,La_Liga,158,Alaves,ALA,138,Sevilla,SEV,2,1,1.40641,0.623937,0.6213,0.3075,0.0712
2,2024-09-21 12:00:00,La_Liga,231,Real Valladolid,VAL,140,Real Sociedad,SOC,0,0,0.952589,1.3906,0.2336,0.2826,0.4838
2,2024-09-21 14:15:00,La_Liga,157,Osasuna,OSA,144,Las Palmas,LPL,2,1,1.97167,1.28282,0.559,0.2371,0.2039
2,2024-09-21 16:30:00,La_Liga,146,Valencia,VAL,223,Girona,GIR,2,0,0.350785,0.387698,0.2165,0.5409,0.2426
2,2024-09-21 19:00:00,La_Liga,150,Real Madrid,RMA,141,Espanyol,ESP,4,1,4.89487,0.318831,0.9961,0.0035,0.0004
2,2024-09-22 12:00:00,La_Liga,142,Getafe,GET,159,Leganes,LEG,1,1,1.24276,0.783211,0.4808,0.3439,0.1753
2,2024-09-22 14:15:00,La_Liga,147,Athletic Club,ATH,152,Celta Vigo,CEL,3,1,0.864304,1.21547,0.2237,0.3214,0.4549
2,2024-09-22 16:30:00,La_Liga,154,Villarreal,VIL,148,Barcelona,BAR,1,5,2.39605,4.1937,0.1102,0.1332,0.7566
2,2024-09-22 19:00:00,La_Liga,145,Rayo Vallecano,RVL,143,Atletico Madrid,ATL,1,1,1.68952,0.554066,0.7007,0.211,0.0883
2,2024-09-23 19:00:00,La_Liga,153,Real Betis,BET,239,Mallorca,MAL,1,2,1.37084,1.4369,0.3418,0.2766,0.3816
2,2024-09-24 17:00:00,La_Liga,138,Sevilla,SEV,231,Real Valladolid,VAL,2,1,1.67099,0.411515,0.7168,0.21,0.0732
2,2024-09-24 17:00:00,La_Liga,146,Valencia,VAL,157,Osasuna,OSA,0,0,1.17527,0.377552,0.6109,0.29,0.0991
2,2024-09-24 19:00:00,La_Liga,150,Real Madrid,RMA,158,Alaves,ALA,3,2,1.79791,0.853455,0.6334,0.2234,0.1432
2,2024-09-25 17:00:00,La_Liga,223,Girona,GIR,145,Rayo Vallecano,RVL,0,0,2.1579,0.377734,0.8726,0.1089,0.0185
2,2024-09-25 19:00:00,La_Liga,148,Barcelona,BAR,142,Getafe,GET,1,0,2.20799,0.929851,0.7106,0.1935,0.0959
2,2024-09-26 17:00:00,La_Liga,141,Espanyol,ESP,154,Villarreal,VIL,1,2,0.355072,1.96233,0.0401,0.1407,0.8192
2,2024-09-26 17:00:00,La_Liga,144,Las Palmas,LPL,153,Real Betis,BET,1,1,1.10799,2.66646,0.0828,0.1669,0.7503
2,2024-09-26 19:00:00,La_Liga,152,Celta Vigo,CEL,143,Atletico Madrid,ATL,0,1,1.76126,0.778357,0.6502,0.2379,0.1119
2,2024-09-27 19:00:00,La_Liga,231,Real Valladolid,VAL,239,Mallorca,MAL,1,2,1.31551,2.49026,0.1123,0.202,0.6857
2,2024-09-28 12:00:00,La_Liga,142,Getafe,GET,158,Alaves,ALA,2,0,2.55847,0.415348,0.8956,0.0815,0.0229
2,2024-09-28 14:15:00,La_Liga,145,Rayo Vallecano,RVL,159,Leganes,LEG,1,1,1.15229,0.852356,0.4319,0.31,0.2581
2,2024-09-28 16:30:00,La_Liga,140,Real Sociedad,SOC,146,Valencia,VAL,3,0,3.6853,0.805963,0.9545,0.0373,0.0082
